name,time,link,image
Portrait of Grandmother Ana Sewing,1921,https://www.wikiart.org/en/salvador-dali/portrait-of-grandmother-ana-sewing,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-grandmother-ana-sewing.jpg
Portrait of My Father,1921,https://www.wikiart.org/en/salvador-dali/portrait-of-my-father-1921,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-my-father-1921.jpg
Romeria Pilgrimage,1921,https://www.wikiart.org/en/salvador-dali/romeria-pilgrimage,https://uploads4.wikiart.org/images/salvador-dali/romeria-pilgrimage.jpg
Saltimbanques,1921,https://www.wikiart.org/en/salvador-dali/saltimbanques-1921,https://uploads4.wikiart.org/images/salvador-dali/saltimbanques-1921.jpg
Santa Creus Festival in Figueras,1921,https://www.wikiart.org/en/salvador-dali/santa-creus-festival-in-figueras,https://uploads4.wikiart.org/images/salvador-dali/santa-creus-festival-in-figueras.jpg
Santa Creus Festival in Figueras - the Circus,1921,https://www.wikiart.org/en/salvador-dali/santa-creus-festival-in-figueras-the-circus,https://uploads4.wikiart.org/images/salvador-dali/santa-creus-festival-in-figueras-the-circus.jpg
Self Portrait,1921,https://www.wikiart.org/en/salvador-dali/self-portrait,https://uploads4.wikiart.org/images/salvador-dali/self-portrait.jpg
Self-portrait (Figueres),1921,https://www.wikiart.org/en/salvador-dali/self-portrait-figueres,https://uploads4.wikiart.org/images/salvador-dali/self-portrait-figueres.jpg
Small Rocky Bay of Nans (Cadaques),1921,https://www.wikiart.org/en/salvador-dali/small-rocky-bay-of-nans-cadaques-1921,https://uploads4.wikiart.org/images/salvador-dali/small-rocky-bay-of-nans-cadaques-1921.jpg
The Garden at Lyane,1921,https://www.wikiart.org/en/salvador-dali/the-garden-at-lyane,https://uploads4.wikiart.org/images/salvador-dali/the-garden-at-lyane.jpg
The Lane to Port Lligat with View of Cap Creus,1921,https://www.wikiart.org/en/salvador-dali/the-lane-to-port-lligat-with-view-of-cap-creus,https://uploads4.wikiart.org/images/salvador-dali/the-lane-to-port-lligat-with-view-of-cap-creus.jpg
The Picnic,1921,https://www.wikiart.org/en/salvador-dali/the-picnic,https://uploads4.wikiart.org/images/salvador-dali/the-picnic.jpg
The Voyeur,1921,https://www.wikiart.org/en/salvador-dali/the-voyeur,https://uploads4.wikiart.org/images/salvador-dali/the-voyeur.jpg
Two Gypsy Lads,1921,https://www.wikiart.org/en/salvador-dali/two-gypsy-lads-1921,https://uploads4.wikiart.org/images/salvador-dali/two-gypsy-lads-1921.jpg
View of Cadaqués from Mount Pani,1921,https://www.wikiart.org/en/salvador-dali/view-of-cadaqu%C3%A9s-from-mount-pani,https://uploads4.wikiart.org/images/salvador-dali/view-of-cadaqu%C3%A9s-from-mount-pani.jpg
Young Girls in a Garden,1921,https://www.wikiart.org/en/salvador-dali/young-girls-in-a-garden,https://uploads4.wikiart.org/images/salvador-dali/young-girls-in-a-garden.jpg
Cabaret Scene,1922,https://www.wikiart.org/en/salvador-dali/cabaret-scene,https://uploads4.wikiart.org/images/salvador-dali/cabaret-scene.jpg
Cadaques,1922,https://www.wikiart.org/en/salvador-dali/cadaques-3,https://uploads4.wikiart.org/images/salvador-dali/cadaques-3.jpg
Fishermen at Cadaques,1922,https://www.wikiart.org/en/salvador-dali/fishermen-at-cadaques,https://uploads4.wikiart.org/images/salvador-dali/fishermen-at-cadaques.jpg
Landscape - Cadaques,1922,https://www.wikiart.org/en/salvador-dali/landscape-cadaques,https://uploads4.wikiart.org/images/salvador-dali/landscape-cadaques.jpg
"Madrid, Architecture and Poplars",1922,https://www.wikiart.org/en/salvador-dali/madrid-architecture-and-poplars,https://uploads4.wikiart.org/images/salvador-dali/madrid-architecture-and-poplars.jpg
Madrid. Drunk Man,1922,https://www.wikiart.org/en/salvador-dali/madrid-drunk-man,https://uploads4.wikiart.org/images/salvador-dali/madrid-drunk-man.jpg
Olive Trees. Landscape at Cadaques,1922,https://www.wikiart.org/en/salvador-dali/olive-trees-landscape-at-cadaques,https://uploads4.wikiart.org/images/salvador-dali/olive-trees-landscape-at-cadaques.jpg
Portdogue and Mount Pani from Ayuntamiento,1922,https://www.wikiart.org/en/salvador-dali/portdogue-and-mount-pani-from-ayuntamiento,https://uploads4.wikiart.org/images/salvador-dali/portdogue-and-mount-pani-from-ayuntamiento.jpg
Portrait Of Jaume Miravidles,1922,https://www.wikiart.org/en/salvador-dali/portrait-of-jaume-miravidles-1922,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-jaume-miravidles-1922.jpg
Portrait of Jaume Miravidles as a Footballer,1922,https://www.wikiart.org/en/salvador-dali/portrait-of-jaume-miravidles-as-a-footballer-1922,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-jaume-miravidles-as-a-footballer-1922.jpg
Self-Portrait with Raphaelesque Neck,1922,https://www.wikiart.org/en/salvador-dali/self-portrait-with-raphaelesque-neck-1922,https://uploads4.wikiart.org/images/salvador-dali/self-portrait-with-raphaelesque-neck-1922.jpg
Still Life,1922,https://www.wikiart.org/en/salvador-dali/still-life-1,https://uploads4.wikiart.org/images/salvador-dali/still-life-1.jpg
Still Life,1922,https://www.wikiart.org/en/salvador-dali/still-life-2,https://uploads4.wikiart.org/images/salvador-dali/still-life-2.jpg
Still Life - Fish,1922,https://www.wikiart.org/en/salvador-dali/still-life-fish,https://uploads4.wikiart.org/images/salvador-dali/still-life-fish.jpg
Still Life (Pulpo y scorpa),1922,https://www.wikiart.org/en/salvador-dali/still-life-pulpo-y-scorpa,https://uploads4.wikiart.org/images/salvador-dali/still-life-pulpo-y-scorpa.jpg
Still Life with Aubergines,1922,https://www.wikiart.org/en/salvador-dali/still-life-with-aubergines,https://uploads4.wikiart.org/images/salvador-dali/still-life-with-aubergines.jpg
"Untitled - Landscape Near, Madrid",1922,https://www.wikiart.org/en/salvador-dali/untitled-landscape-near-madrid,https://uploads4.wikiart.org/images/salvador-dali/untitled-landscape-near-madrid.jpg
Untitled - Scene in a Cabaret in Madrid,1922,https://www.wikiart.org/en/salvador-dali/untitled-scene-in-a-cabaret-in-madrid,https://uploads4.wikiart.org/images/salvador-dali/untitled-scene-in-a-cabaret-in-madrid.jpg
Villa Pepita,1922,https://www.wikiart.org/en/salvador-dali/villa-pepita,https://uploads4.wikiart.org/images/salvador-dali/villa-pepita.jpg
Summer Night,1922,https://www.wikiart.org/en/salvador-dali/summer-night,https://uploads4.wikiart.org/images/salvador-dali/summer-night.jpg
Cadaques,1923,https://www.wikiart.org/en/salvador-dali/cadaques,https://uploads4.wikiart.org/images/salvador-dali/cadaques.jpg
Cadaques,1923,https://www.wikiart.org/en/salvador-dali/cadaques-1,https://uploads4.wikiart.org/images/salvador-dali/cadaques-1.jpg
Crystalline Still Life,1923,https://www.wikiart.org/en/salvador-dali/crystalline-still-life,https://uploads4.wikiart.org/images/salvador-dali/crystalline-still-life.jpg
Cubist Composition - Portrait of a Seated Person Holding a Letter,1923,https://www.wikiart.org/en/salvador-dali/cubist-composition-portrait-of-a-seated-person-holding-a-letter,https://uploads4.wikiart.org/images/salvador-dali/cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg
Domestic Scen,1923,https://www.wikiart.org/en/salvador-dali/domestic-scen,https://uploads4.wikiart.org/images/salvador-dali/domestic-scen.jpg
Figures in a Landscape at Ampurdan,1923,https://www.wikiart.org/en/salvador-dali/figures-in-a-landscape-at-ampurdan,https://uploads4.wikiart.org/images/salvador-dali/figures-in-a-landscape-at-ampurdan.jpg
Jug,1923,https://www.wikiart.org/en/salvador-dali/jug-1923,https://uploads4.wikiart.org/images/salvador-dali/jug-1923.jpg
La Jorneta,1923,https://www.wikiart.org/en/salvador-dali/la-jorneta,https://uploads4.wikiart.org/images/salvador-dali/la-jorneta.jpg
Landscape Near Cadaques,1923,https://www.wikiart.org/en/salvador-dali/landscape-near-cadaques,https://uploads4.wikiart.org/images/salvador-dali/landscape-near-cadaques.jpg
Landscape of Cadaques,1923,https://www.wikiart.org/en/salvador-dali/landscape-of-cadaques,https://uploads4.wikiart.org/images/salvador-dali/landscape-of-cadaques.jpg
Late Night Dreams,1923,https://www.wikiart.org/en/salvador-dali/late-night-dreams,https://uploads4.wikiart.org/images/salvador-dali/late-night-dreams.jpg
Nude in a Landscape,1923,https://www.wikiart.org/en/salvador-dali/nude-in-a-landscape,https://uploads4.wikiart.org/images/salvador-dali/nude-in-a-landscape.jpg
"Portrait of My Cousin Ana, Maria Domenech",1923,https://www.wikiart.org/en/salvador-dali/portrait-of-my-cousin-ana-maria-domenech,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-my-cousin-ana-maria-domenech.jpg
Portrait of My First Cousin,1923,https://www.wikiart.org/en/salvador-dali/portrait-of-my-first-cousin,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-my-first-cousin.jpg
Roma from Figueres,1923,https://www.wikiart.org/en/salvador-dali/roma-from-figueres,https://uploads4.wikiart.org/images/salvador-dali/roma-from-figueres.jpg
Satirical Composition ('The Dance' by Matisse),1923,https://www.wikiart.org/en/salvador-dali/satirical-composition-the-dance-by-matisse,https://uploads4.wikiart.org/images/salvador-dali/satirical-composition-the-dance-by-matisse.jpg
Self-portrait with L'Humanitie,1923,https://www.wikiart.org/en/salvador-dali/self-portrait-with-l-humanitie,https://uploads4.wikiart.org/images/salvador-dali/self-portrait-with-l-humanitie.jpg
Self-Potrait,1923,https://www.wikiart.org/en/salvador-dali/self-potrait,https://uploads4.wikiart.org/images/salvador-dali/self-potrait.jpg
Sick Boy (Self-portrait in Cadaqués),1923,https://www.wikiart.org/en/salvador-dali/sick-boy-self-portrait-in-cadaqu%C3%A9s,https://uploads4.wikiart.org/images/salvador-dali/sick-boy-self-portrait-in-cadaqu%C3%A9s.jpg
Source in the Hornet,1923,https://www.wikiart.org/en/salvador-dali/source-in-the-hornet,https://uploads4.wikiart.org/images/salvador-dali/source-in-the-hornet.jpg
Still Life,1923,https://www.wikiart.org/en/salvador-dali/still-life-3,https://uploads4.wikiart.org/images/salvador-dali/still-life-3.jpg
Still Life,1923,https://www.wikiart.org/en/salvador-dali/still-life-4,https://uploads4.wikiart.org/images/salvador-dali/still-life-4.jpg
The First Day of Spring,1923,https://www.wikiart.org/en/salvador-dali/the-first-day-of-spring-1923,https://uploads4.wikiart.org/images/salvador-dali/the-first-day-of-spring-1923.jpg
Woman Nursing Her Son,1923,https://www.wikiart.org/en/salvador-dali/woman-nursing-her-son,https://uploads4.wikiart.org/images/salvador-dali/woman-nursing-her-son.jpg
Young Women,1923,https://www.wikiart.org/en/salvador-dali/young-women,https://uploads4.wikiart.org/images/salvador-dali/young-women.jpg
Bathers Of Llane,1923,https://www.wikiart.org/en/salvador-dali/bathers-of-llane,https://uploads4.wikiart.org/images/salvador-dali/bathers-of-llane.jpg
Ana Maria,1924,https://www.wikiart.org/en/salvador-dali/ana-maria,https://uploads4.wikiart.org/images/salvador-dali/ana-maria.jpg
Bather,1924,https://www.wikiart.org/en/salvador-dali/bather,https://uploads4.wikiart.org/images/salvador-dali/bather.jpg
Bouquet (L'Important c'est la Rose),1924,https://www.wikiart.org/en/salvador-dali/bouquet-l-important-c-est-la-rose,https://uploads4.wikiart.org/images/salvador-dali/bouquet-l-important-c-est-la-rose.jpg
Pierrot and Guitar,1924,https://www.wikiart.org/en/salvador-dali/pierrot-and-guitar,https://uploads4.wikiart.org/images/salvador-dali/pierrot-and-guitar.jpg
Plant,1924,https://www.wikiart.org/en/salvador-dali/plant,https://uploads4.wikiart.org/images/salvador-dali/plant.jpg
Port Alguer,1924,https://www.wikiart.org/en/salvador-dali/port-alguer,https://uploads4.wikiart.org/images/salvador-dali/port-alguer.jpg
Portrait of Anna  Maria,1924,https://www.wikiart.org/en/salvador-dali/portrait-of-anna-maria-1,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-anna-maria-1.jpg
Portrait of Luis Bunuel,1924,https://www.wikiart.org/en/salvador-dali/portrait-of-luis-bunuel-1900-83-1924,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-luis-bunuel-1900-83-1924.jpg
Portrait of My Sister (original State),1924,https://www.wikiart.org/en/salvador-dali/portrait-of-my-sister-original-state-1924,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-my-sister-original-state-1924.jpg
Puristic Still Life,1924,https://www.wikiart.org/en/salvador-dali/puristic-still-life,https://uploads4.wikiart.org/images/salvador-dali/puristic-still-life.jpg
